id,first_name,last_name,url_name,bio,soundcloud,website,instagram,facebook,twitter,youtube_video,spotify_id
1,Tony,Humphries,tony-humphries,Tony Humphries is an American electronic musician and DJ. He was one of the earliest proponents of house music and has been instrumental in spreading the genre on both sides of the Atlantic.,https://soundcloud.com/tony-humphries,https://tonyhumphries.com/,https://www.instagram.com/tony_humphrie,https://www.facebook.com/TonyHumphriesOfficial/,https://twitter.com/tonyhumphries,J8HtmL9mlEs,3H8qk6ngZWWvpFBDiYJiFw
2,Rissa,Garcia,rissa-garcia,"NYC-based Rissa Garcia, is the Dancing Room Only resident DJ and founder of NightChild Records.Inspired by Danny Tenaglia during his residency at Club Vinyl from 1999 - 2004, Rissa Garcia has been avidly collecting records and rinsing them at various high-profile club gigs for over a decade.",https://soundcloud.com/rissa,http://rissagarcia.com/,https://www.instagram.com/rissancr/,https://www.facebook.com/rissagarcianyc/,https://twitter.com/RissaGarciaNYC,HgRmWNaYXnM,1mcZ6v8U8J0361M0ceJAJu
3,Kush,Jones,kush-jones,"Kush Jones is a native Bronx, New York music producer and international DJ. Kush Jones music productions span a wide variety of influences from Chicago footwork, Jersey Club, Jungle, UK Grime and related underground soundscapes.",https://soundcloud.com/kush_jones,,https://www.instagram.com/kush_jones_,,https://twitter.com/kush_jones_,XXObHQfBfkI,5ifmtTvKK5Pfk6K1b0eHZm
4,MoMa,Ready,moma-ready,"Wyatt D. Stevens aka MoMA READY is an audio visual artist & film maker as well as the Owner of the lifestyle and music label Haus of Altr. Both MoMa Ready and the label draw inspiration from the energy of deep house, techno and rave, with an underbelly of skateboarding culture. Using soulful vocal track, deep 909 beats, rolling acid cuts and unmatched energy, MoMa gets his point across.",https://soundcloud.com/moma_ready,,https://www.instagram.com/moma_ready,https://www.facebook.com/Momaready/,https://twitter.com/moma_ready,anMuR4vNZIU,5X6LaznpXYDwhSt5eirvRV
